z6-10463,Port1,Port1,Port1,Port1,Port1,Port1,Port1,Port1,Port1,Port1,Port1,Port1,Port1,Port1,Port1,Port7,Port7,Port8,Port8
# Records: 29258,ATMOS 41 All-in-one Weather Station,ATMOS 41 All-in-one Weather Station,ATMOS 41 All-in-one Weather Station,ATMOS 41 All-in-one Weather Station,ATMOS 41 All-in-one Weather Station,ATMOS 41 All-in-one Weather Station,ATMOS 41 All-in-one Weather Station,ATMOS 41 All-in-one Weather Station,ATMOS 41 All-in-one Weather Station,ATMOS 41 All-in-one Weather Station,ATMOS 41 All-in-one Weather Station,ATMOS 41 All-in-one Weather Station,ATMOS 41 All-in-one Weather Station,ATMOS 41 All-in-one Weather Station,ATMOS 41 All-in-one Weather Station,Battery,Battery,Barometer,Barometer
Timestamps, W/m2 Solar Radiation, mm Precipitation, Lightning Activity, km Lightning Distance, degrees Wind Direction, m/s Wind Speed, m/s Gust Speed, degree_C Air Temperature, kPa Vapor Pressure, kPa Atmospheric Pressure, degrees X-axis Level, degrees Y-axis Level, mm/h Max Precip Rate, degree_C RH Sensor Temp, kPa VPD,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, degree_C Logger Temperature
2020-12-11 14:30:00,98.2,0.0,0.0,0.0,88.0,1.07,3.39,10.5,0.626,98.31,-1.2,0.8,0.0,12.0,0.64,99,7798,98.27,14.6
2020-12-11 14:45:00,106.9,0.0,0.0,0.0,131.0,0.86,2.65,10.3,0.641,98.32,-1.3,0.7,0.0,11.3,0.61,99,7797,98.26,12.6
2020-12-11 15:00:00,109.4,0.0,0.0,0.0,110.0,0.77,2.64,10.4,0.654,98.33,-1.4,0.8,0.0,10.9,0.61,99,7797,98.26,11.7
2020-12-11 15:15:00,77.3,0.0,0.0,0.0,15.0,1.24,3.76,10.5,0.663,98.35,-1.4,0.7,0.0,10.8,0.6,100,7801,98.27,11.2
2020-12-11 15:30:00,55.0,0.0,0.0,0.0,8.0,1.28,3.15,10.1,0.66,98.38,-1.3,0.8,0.0,10.4,0.57,99,7798,98.3,10.4
2020-12-11 15:45:00,47.2,0.0,0.0,0.0,2.0,0.92,2.24,9.6,0.661,98.39,-1.3,0.8,0.0,9.9,0.53,99,7798,98.31,9.6
2020-12-11 16:00:00,41.5,0.0,0.0,0.0,355.0,0.59,1.4,9.4,0.673,98.39,-1.3,0.8,0.0,9.6,0.5,99,7798,98.3,9.3
2020-12-11 16:15:00,17.5,0.0,0.0,0.0,4.0,0.69,1.77,8.9,0.667,98.39,-1.3,0.8,0.0,9.2,0.47,99,7797,98.3,8.6
2020-12-11 16:30:00,4.1,0.0,0.0,0.0,8.0,0.96,1.47,8.3,0.652,98.41,-1.3,0.7,0.0,8.4,0.44,99,7797,98.29,7.5
2020-12-11 16:45:00,0.5,0.0,0.0,0.0,6.0,1.23,2.04,7.5,0.641,98.39,-1.3,0.8,0.0,7.6,0.4,99,7795,98.27,6.3
2020-12-11 17:00:00,0.0,0.0,0.0,0.0,359.0,1.17,1.63,6.8,0.64,98.4,-1.3,0.8,0.0,6.9,0.34,99,7792,98.26,5.3
2020-12-11 17:15:00,0.0,0.0,0.0,0.0,3.0,1.11,1.54,6.4,0.646,98.41,-1.3,0.8,0.0,6.3,0.32,98,7791,98.27,4.7
2020-12-11 17:30:00,0.0,0.0,0.0,0.0,7.0,0.82,1.42,6.6,0.664,98.43,-1.3,0.8,0.0,6.0,0.31,98,7787,98.28,4.4
2020-12-11 17:45:00,0.0,0.0,0.0,0.0,2.0,0.81,1.37,6.3,0.67,98.46,-1.3,0.7,0.0,5.7,0.29,99,7792,98.31,4.1
2020-12-11 18:00:00,0.0,0.0,0.0,0.0,8.0,0.86,1.47,6.0,0.67,98.5,-1.4,0.8,0.0,5.4,0.26,98,7789,98.33,3.8
2020-12-11 18:15:00,0.0,0.0,0.0,0.0,13.0,0.94,1.38,5.6,0.663,98.51,-1.3,0.7,0.0,5.2,0.25,98,7787,98.32,3.4
2020-12-11 18:30:00,0.0,0.0,0.0,0.0,14.0,0.7,1.22,5.6,0.67,98.51,-1.4,0.8,0.0,4.9,0.24,98,7788,98.32,3.1
2020-12-11 18:45:00,0.0,0.0,0.0,0.0,15.0,0.81,1.31,5.6,0.67,98.54,-1.3,0.8,0.0,4.7,0.24,98,7789,98.34,3.0
2020-12-11 19:00:00,0.0,0.0,0.0,0.0,26.0,0.91,1.54,4.9,0.658,98.55,-1.4,0.8,0.0,4.5,0.21,98,7785,98.35,2.6
2020-12-11 19:15:00,0.0,0.0,0.0,0.0,22.0,0.82,1.53,4.5,0.641,98.57,-1.3,0.8,0.0,4.0,0.2,97,7780,98.36,2.2
2020-12-11 19:30:00,0.0,0.0,0.0,0.0,26.0,1.0,1.77,4.2,0.645,98.59,-1.3,0.8,0.0,3.7,0.18,98,7784,98.38,1.7
2020-12-11 19:45:00,0.0,0.0,0.0,0.0,10.0,1.14,1.77,4.1,0.649,98.59,-1.3,0.8,0.0,3.5,0.17,98,7784,98.37,1.4
2020-12-11 20:00:00,0.0,0.0,0.0,0.0,0.0,1.02,1.48,4.3,0.655,98.57,-1.4,0.8,0.0,3.5,0.18,97,7782,98.35,1.2
2020-12-11 20:15:00,0.0,0.0,0.0,0.0,339.0,0.72,1.21,3.8,0.67,98.55,-1.3,0.8,0.0,3.6,0.13,97,7779,98.33,1.4
2020-12-11 20:30:00,0.0,0.0,0.0,0.0,23.0,0.86,1.27,4.0,0.667,98.54,-1.4,0.8,0.0,3.5,0.15,97,7780,98.33,1.5
2020-12-11 20:45:00,0.0,0.0,0.0,0.0,27.0,0.72,1.12,4.1,0.67,98.56,-1.3,0.8,0.0,3.6,0.15,97,7777,98.35,1.6
2020-12-11 21:00:00,0.0,0.0,0.0,0.0,32.0,0.94,1.93,4.1,0.671,98.58,-1.3,0.8,0.0,3.6,0.15,97,7779,98.36,1.8
2020-12-11 21:15:00,0.0,0.0,0.0,0.0,11.0,0.95,1.43,4.0,0.68,98.58,-1.3,0.7,0.0,3.7,0.13,97,7776,98.37,1.9
2020-12-11 21:30:00,0.0,0.0,0.0,0.0,23.0,0.75,1.34,3.9,0.68,98.59,-1.3,0.8,0.0,3.7,0.13,97,7777,98.38,2.0
2020-12-11 21:45:00,0.0,0.0,0.0,0.0,11.0,0.73,1.12,3.9,0.671,98.6,-1.4,0.8,0.0,3.6,0.13,97,7778,98.39,1.9
2020-12-11 22:00:00,0.0,0.0,0.0,0.0,355.0,0.84,1.22,3.7,0.67,98.63,-1.3,0.8,0.0,3.4,0.12,97,7776,98.41,1.7
2020-12-11 22:15:00,0.0,0.0,0.0,0.0,9.0,0.93,1.44,3.7,0.67,98.65,-1.3,0.8,0.0,3.2,0.12,97,7776,98.42,1.5
2020-12-11 22:30:00,0.0,0.0,0.0,0.0,10.0,1.07,1.56,4.1,0.674,98.67,-1.3,0.8,0.0,3.3,0.15,97,7775,98.43,1.3
2020-12-11 22:45:00,0.0,0.0,0.0,0.0,4.0,0.98,1.37,4.3,0.684,98.66,-1.4,0.8,0.0,3.5,0.15,97,7776,98.44,1.3
2020-12-11 23:00:00,0.0,0.0,0.0,0.0,341.0,0.91,1.37,4.5,0.689,98.68,-1.4,0.8,0.0,3.7,0.15,97,7775,98.46,1.4
2020-12-11 23:15:00,0.0,0.0,0.0,0.0,350.0,1.01,1.32,4.1,0.68,98.67,-1.3,0.8,0.0,3.7,0.14,96,7774,98.45,1.5
2020-12-11 23:30:00,0.0,0.0,0.0,0.0,354.0,1.01,1.34,4.0,0.679,98.68,-1.3,0.8,0.0,3.7,0.13,96,7774,98.45,1.3
2020-12-11 23:45:00,0.0,0.0,0.0,0.0,4.0,1.22,1.84,4.0,0.67,98.66,-1.3,0.8,0.0,3.4,0.14,96,7774,98.43,1.0
